-73.82434819806184 23.232136897253717 39.62404183828934 0.9418288506869472 -3.2469457402417		-166.2233264473045 9.153438441218906 19.25594234007142 -1.7372849740519385 -0.42596823171720555		8.82537096811495 21.00995047487999 25.42237453738346 3.626222450865795 0.5630132058558686		-56.71814065446185 11.740663804133284 27.50592459995084 1.1410690952881741 -1.7383108225894424		44.6825445793218 61.68187864179956 70.40714719983453 6.325436248619254 6.255727805316603		
-75.9606941041222 19.754984361582743 36.308603582685464 0.7314398234052786 -2.925094819716325		170.41744280036966 30.825025852414836 46.14125057672837 -5.105962879633888 0.862010162119537		28.155210636225974 37.05353899371315 55.785320674951066 5.19538978819022 2.7805167425003154		-56.29819877890397 47.2115917938295 66.26771490529961 4.376610723041127 -6.562004026265063		59.79715628121834 43.08111076493267 73.23225402243155 3.6913067927700776 6.341576082136385		
-119.21804211709112 16.90433039176986 26.936304761915522 -1.4429871226787225 -2.580013382280093		145.81451459346155 30.362878027736805 44.892716522618684 -4.56135269868617 3.0982031868818627		-3.2271318779447173 57.54965700282755 71.42760057584047 8.163202680311134 -0.4602716787825525		-52.86914352705888 49.95251898602349 69.97816902130856 4.91039688277295 -6.485445833088668		79.28908011730145 36.0278429847422 55.94663273255421 1.1130054142501766 5.884267372514265		
-127.34019309762961 19.96641331847786 28.600934712087973 -1.7735730905691696 -2.3247625386538395		128.87839208072333 39.00310122381262 49.80318662231046 -3.9306497085421666 4.875068463919332		-9.911181115091306 57.5494059076614 63.00671531228371 7.709517136270708 -1.347076506533282		-54.772440681803666 50.11483380007168 83.3265250413882 4.270700202982467 -6.047925403559494		52.26990530027183 16.86054340155033 28.99224197239023 2.115169855521911 2.7337411630160613		
-79.90644054681795 5.155157887182862 9.974838659813846 0.1517138967373953 -0.8522718419027667		175.54818459373223 64.28800812905492 78.87538095695407 -8.518919105717394 0.6632453353378294		-41.86254042610875 48.23074012234013 58.06142654182027 5.535528217404586 -4.960216582732962		-43.39242092360768 35.948408592292154 35.42665898347008 4.7211681019556515 -4.4634038905063935		55.379754628263136 18.444523786112384 26.9962216791925 2.379473002278786 3.4466363010962486		
85.5385409843267 16.75699643570644 22.560382837366326 0.140094884494223 1.7955148718227216		130.7479155912567 39.32924270918215 47.01305442331998 -4.55766031509898 5.289814318327339		-56.96397526548805 60.28315438645805 47.59842908455384 4.013610435626572 -6.171918935652967		-66.78500455489964 29.019295723536164 26.839449960125314 2.1325522048693983 -4.972022842294301		81.16990321160623 27.034403258338653 52.82554220593239 0.8405364910305344 5.410734432103854		
5.261516351246649 24.056428983545334 12.39747707392181 2.7080917939488267 0.249387606602259		130.72209499864553 13.111057817751835 17.421624103512123 -1.851033886001217 2.150347532692087		-52.83422526982531 37.2298668722765 21.127129226940347 2.585938555380919 -3.4110773460603894		-60.545477046357924 19.21559556173502 34.14567925408754 1.9957337737578273 -3.5339894101871283		52.982622215852565 19.62630286920964 35.442782339122566 2.4165471905047107 3.2048435734115257		
1.3144404206664848 45.602874873361536 40.79795411029373 5.892298407934787 0.1352007827497117		2.4121081387105034 11.1165352796248 24.80768570229409 2.425892053661414 0.10218856320458067		170.3956228552161 11.344149646567262 15.715582565462297 -1.1005100786416384 0.1862238274493806		177.2372059207449 11.012633304874058 13.791219109731006 -2.251762604067439 0.10866389545791631		105.42590212574679 33.50106069415006 46.69084107627392 -1.608931817956479 5.830892772767025		
59.77562985698174 71.81091902866034 67.62043493268618 3.6257312243358895 6.2235396055730865		29.505744310445227 15.747837585078958 28.226352996126828 2.7608685951022465 1.5623897150761379		76.87906190082582 23.898759228287656 35.078023547086836 0.5984717719392376 2.5675285221016964		105.49745740531684 24.499935359455325 47.87417662644933 -1.0583882876944186 3.8170826384003207		117.48042349435042 30.719738401232505 47.477688294596156 -2.6957213057598843 5.182755211332509		
49.203704535571184 62.214612940664686 60.45623146110042 4.946003744609919 5.730749541113765		65.02595111034226 13.725533850508484 21.831220024738265 1.261657372079213 2.7088355480048802		137.09769095697112 14.205836154685924 30.06507338461512 -1.2253821526522444 1.1387873956897228		58.963484824924684 52.48748279767061 74.87999656553625 4.210268250552005 6.996958409052764		77.58475456053742 22.05007493118898 31.277205968136958 0.929572000686373 4.222578350631873		
14.789917814342425 54.16178877412357 42.523885339517946 5.615304021548478 1.4825702802287908		70.76935239362075 40.176920125240336 61.84460002168628 1.977514647999301 5.668883204465152		36.1359845782648 37.376885511324346 48.30822288745296 4.216856525076801 3.0790432063540556		77.96677721367215 60.58923587311004 96.71837417225213 1.577524043463906 7.400563903904103		95.45121299609347 12.41102713125842 17.771296218303682 -0.24583038705033605 2.57603565792819		
4.657317628150696 42.97718273606152 28.466651006710904 3.818903324121534 0.31110706737925603		165.52135578460238 11.56933778717942 23.477804367191684 -1.9481399763371339 0.5030486358663		116.9412612792449 26.07987411272952 21.57447676242871 -1.8102412053901757 3.561820756094423		92.8945787645528 33.07464965885649 52.6243340102609 -0.32193770117183 6.367066725305901		131.2048792264989 14.352324038358848 24.436312526797295 -2.1217178637343013 2.42320238973165		
-10.557672091137775 57.868078273015975 41.75627078173844 5.412405729001811 -1.0087662559714956		177.11720201070398 22.283015728972103 48.34792489143985 -4.643704980065805 0.2338422020145637		72.13558285367785 14.35448108368974 24.92657130501091 0.6808125994786938 2.112320696132523		126.79155514977205 29.228371322315983 49.26009230373333 -3.159960052856656 4.225304005626981		-132.0803746532017 8.799666770177787 18.26196000379102 -1.3926779634776474 -1.5423689563136609		
16.402186819349957 64.83317577879073 53.320131476417025 6.127979668448082 1.8038166472311536		117.90573619106539 19.564330083022245 28.63255423994389 -1.9339243111422142 3.6516633324686136		62.21056092793835 8.899482607771459 16.182417974843116 0.7863556256027631 1.4921227456897466		115.80618180605009 13.315489297507195 27.17092507477761 -1.1440794673623231 2.3659905515258557		-20.34188051347074 35.12594536937575 60.32891130702039 6.189153061386397 -2.294581642485457		
